ColliderName,Samples,timeDiff,Index,HMD_x,HMD_y,HMD_z
Building_170,1,0.011407613754272461,30,-63.87837219238281,2.4737534523010254,33.44840240478516
Building_165,1,0.02182483673095703,31,-63.87922668457031,2.4737191200256348,33.448043823242195
Building_170,1,0.022319555282592773,32,-63.88011169433594,2.47359037399292,33.44757843017578
TaskBuilding_41,1,0.022320032119750977,33,-63.88090515136719,2.47341251373291,33.44715118408203
Building_164,2,0.03323173522949219,34,-63.88212585449219,2.472956418991089,33.44651794433594
Building_165,1,0.011408090591430664,35,-63.88410949707031,2.4724597930908203,33.445510864257805
TaskBuilding_41,2,0.0421600341796875,36,-63.88569641113281,2.4722402095794678,33.4445686340332
Building_165,1,0.011407613754272461,37,-63.88703918457031,2.4721970558166504,33.443618774414055
Building_170,1,0.010912656784057617,38,-63.88807678222656,2.472264289855957,33.442886352539055
Building_165,1,0.010911703109741211,39,-63.88859558105469,2.4724154472351074,33.44257354736328
TaskBuilding_41,2,0.02380824089050293,40,-63.88929748535156,2.472710371017456,33.442115783691406
Building_170,2,0.00991964340209961,41,-63.892364501953125,2.473233461380005,33.44480514526367
